iab_id,company_id,first_added,last_modified,gid
540,290277,2018-11-02,2019-05-06,5523
547,290463,2018-11-02,2019-06-28,5956
551,290469,2018-11-02,2019-06-28,5944
334,287422,2018-10-26,2018-10-26,2808
543,88957,2018-10-12,2018-10-16,2485
544,259463,2018-10-12,2018-10-16,2582
542,290425,2018-10-09,2019-05-30,2189
525,290293,2018-10-09,2019-05-06,3657
536,209317,2018-10-09,2018-10-10,2553
531,177070,2018-10-09,2018-10-10,2702
537,209214,2018-10-05,2018-10-05,2738
523,290427,2018-10-02,2019-05-30,4234
519,290340,2018-09-28,2019-05-14,3756
539,290444,2018-09-28,2019-05-30,4217
501,290430,2018-09-28,2019-05-30,4218
530,287400,2018-09-28,2018-10-01,4219
522,157066,2018-09-25,2018-09-25,2424
514,290429,2018-09-21,2019-05-30,4103
535,130354,2018-09-18,2018-09-18,1459
534,253071,2018-09-14,2018-09-14,1739
506,2985,2018-09-14,2018-09-14,2868
528,254505,2018-09-14,2018-09-14,3767
527,290441,2018-09-14,2019-05-30,4199
529,290291,2018-09-07,2019-05-06,4161
524,290437,2018-08-31,2019-05-30,4153
515,290448,2018-08-28,2019-05-30,4149
520,290438,2018-08-28,2019-05-30,4148
521,290338,2018-08-21,2019-05-14,4141
509,290426,2018-08-21,2019-05-30,4143
487,184362,2018-08-21,2018-08-21,2891
513,176695,2018-08-17,2019-05-06,4137
511,290748,2018-08-17,2020-06-05,3458
518,290328,2018-08-17,2019-05-14,4138
479,290432,2018-08-17,2019-05-30,3830
517,290424,2018-08-14,2019-05-30,4135
505,290327,2018-08-14,2019-05-14,4134
507,270400,2018-08-14,2018-08-14,2261
482,180746,2018-08-14,2018-08-14,2831
494,290301,2018-08-10,2019-05-07,4128
471,290284,2018-08-10,2019-05-06,4127
516,290337,2018-08-10,2019-05-14,4130
508,277368,2018-08-10,2018-08-10,2715
512,290140,2018-08-10,2019-05-06,3171
492,290054,2018-08-07,2018-12-14,4129
497,290283,2018-08-03,2019-05-06,4117
465,285881,2018-08-03,2018-12-14,1753
502,290290,2018-07-31,2019-05-06,4116
464,759,2018-07-27,2019-05-14,2221
491,290332,2018-07-27,2019-05-14,4110
499,290302,2018-07-27,2019-05-07,4111
490,265964,2018-07-27,2018-07-30,3283
488,290053,2018-07-27,2018-12-14,3591
500,266712,2018-07-27,2018-07-30,2676
467,290278,2018-07-27,2019-05-06,4109
496,169531,2018-07-25,2019-05-30,2392
424,177334,2018-07-25,2018-07-30,4112
408,129567,2018-07-25,2018-07-30,2243
473,203616,2018-07-25,2018-07-30,4114
495,290331,2018-07-20,2019-05-14,3766
493,256218,2018-07-20,2018-07-20,4100
478,290428,2018-07-17,2019-05-30,4101
484,172060,2018-07-17,2018-07-17,2307
489,171546,2018-07-17,2018-07-17,3633
458,193378,2018-07-13,2019-05-07,1722
392,184326,2018-07-13,2019-05-06,1830
221,290417,2018-07-13,2019-05-30,4090
486,290445,2018-07-13,2019-05-30,4093
468,29483,2018-07-13,2018-07-17,1736
357,142387,2018-07-13,2018-07-17,4091
474,290439,2018-07-10,2019-05-30,4084
480,290443,2018-07-10,2019-05-30,4087
476,169284,2018-07-10,2018-07-17,1957
461,251913,2018-07-10,2018-07-17,4086
428,186921,2018-07-10,2018-07-17,2275
448,48372,2018-07-10,2018-07-17,4085
366,290442,2018-07-10,2019-05-30,4088
375,290282,2018-07-06,2019-05-06,3711
469,290418,2018-07-06,2019-05-30,4081
475,272217,2018-07-06,2018-07-17,2478
268,287793,2018-07-06,2018-07-17,3013
196,177910,2018-07-06,2018-07-17,2334
440,290446,2018-07-06,2019-05-30,4082
346,290279,2018-06-30,2019-05-06,4077
431,190220,2018-06-30,2018-07-11,2260
336,290281,2018-06-30,2019-05-06,4076
430,288399,2018-06-30,2018-07-17,3466
459,287907,2018-06-30,2018-07-17,3248
340,258696,2018-06-29,2019-05-30,2289
466,266702,2018-06-29,2018-07-17,3604
462,290447,2018-06-29,2019-05-30,4075
447,290141,2018-06-28,2019-02-08,4072
365,187888,2018-06-28,2018-07-17,2251
423,209349,2018-06-28,2018-07-17,4070
381,161540,2018-06-28,2018-07-17,3700
397,154633,2018-06-28,2018-07-17,2519
395,290440,2018-06-28,2019-05-30,4074
410,208933,2018-06-28,2018-07-17,3567
425,290333,2018-06-28,2019-05-14,4071
137,184326,2018-06-28,2019-05-14,4073
298,290294,2018-06-22,2019-05-06,4068
455,199824,2018-06-22,2019-05-30,2097
454,258441,2018-06-21,2019-05-07,4066
293,261155,2018-06-21,2018-07-17,2695
444,262617,2018-06-20,2018-07-17,2615
412,169643,2018-06-20,2018-07-17,2955
443,170972,2018-06-19,2018-06-19,2421
427,290433,2018-06-19,2019-05-30,4060
374,290421,2018-06-19,2019-05-30,4061
407,290431,2018-06-19,2019-05-30,3836
438,145838,2018-06-19,2018-06-19,2601
450,175834,2018-06-19,2018-06-19,3154
452,146215,2018-06-19,2018-06-19,2471
335,290285,2018-06-19,2019-05-06,2266
429,111351,2018-06-19,2019-02-08,4059
449,290289,2018-06-18,2019-05-06,4048
12,271013,2018-06-14,2018-06-14,2379
79,71078,2018-06-14,2018-06-14,1325
71,129781,2018-06-14,2018-06-14,1338
30,172163,2018-06-14,2018-06-14,2021
1,83863,2018-06-14,2018-06-14,1346
91,138945,2018-06-14,2018-06-14,1430
28,180988,2018-06-14,2018-06-14,2273
51,287981,2018-06-14,2018-06-14,2064
27,184147,2018-06-14,2018-06-14,2254
67,138591,2018-06-14,2018-06-14,1431
10,13688,2018-06-14,2018-06-14,1440
45,261149,2018-06-14,2018-06-14,1593
6,128266,2018-06-14,2018-06-14,1892
39,169719,2018-06-14,2018-06-14,2304
63,262947,2018-06-14,2018-06-14,2227
85,208998,2018-06-14,2018-06-14,2239
29,288993,2018-06-14,2018-06-14,3967
11,130727,2018-06-14,2018-06-14,2274
7,3002,2018-06-14,2018-06-14,1090
8,209059,2018-06-14,2018-06-14,2253
4,288962,2018-06-14,2018-06-14,3710
26,171522,2018-06-14,2018-06-14,4036
37,288927,2018-06-14,2018-06-14,4001
49,169635,2018-06-14,2018-06-14,2678
86,288969,2018-06-14,2018-06-14,4012
94,208980,2018-06-14,2018-06-14,2495
9,142353,2018-06-14,2018-06-14,2312
350,172550,2018-06-14,2018-06-14,2718
15,205706,2018-06-14,2018-06-14,3462
16,209213,2018-06-14,2018-06-14,3709
62,187234,2018-06-14,2018-06-14,3679
41,208935,2018-06-14,2018-06-14,1509
25,287047,2018-06-14,2018-06-14,1006
21,151053,2018-06-14,2018-06-14,1507
36,215569,2018-06-14,2018-06-14,1590
50,169475,2018-06-14,2018-06-14,1848
82,61257,2018-06-14,2018-06-14,1690
81,124566,2018-06-14,2018-06-14,1717
48,290300,2018-06-14,2019-05-07,4000
80,122712,2018-06-14,2018-06-14,1436
53,271730,2018-06-14,2019-05-06,3905
61,184992,2018-06-14,2018-06-14,1746
33,153540,2018-06-14,2018-06-14,2707
73,169682,2018-06-14,2018-06-14,2123
69,60162,2018-06-14,2018-06-14,1246
20,288921,2018-06-14,2018-06-14,3997
43,288929,2018-06-14,2018-06-14,2270
66,195414,2018-06-14,2018-06-14,3943
76,169629,2018-06-14,2018-06-14,1215
70,195736,2018-06-14,2018-06-14,2015
110,288984,2018-06-14,2018-06-14,3972
112,288907,2018-06-14,2018-06-14,3990
46,171542,2018-06-14,2018-06-14,2704
89,147258,2018-06-14,2018-06-14,2687
17,269891,2018-06-14,2018-06-14,2977
23,174222,2018-06-14,2018-06-14,1851
105,128788,2018-06-14,2018-06-14,2236
55,203987,2018-06-14,2018-06-14,3986
127,209226,2018-06-14,2018-06-14,2618
100,290288,2018-06-14,2019-05-06,3788
19,179502,2018-06-14,2019-05-30,3975
151,180874,2018-06-14,2018-06-14,1863
329,290341,2018-06-14,2019-05-14,3956
56,288952,2018-06-14,2018-06-14,3961
74,288948,2018-06-14,2018-06-14,3841
130,208917,2018-06-14,2018-06-14,2341
68,183320,2018-06-14,2018-06-14,2710
128,288978,2018-06-14,2018-06-14,3406
131,288988,2018-06-14,2018-06-14,3629
129,288992,2018-06-14,2018-06-14,2264
95,152737,2018-06-14,2018-06-14,1530
108,288958,2018-06-14,2018-06-14,3557
111,288898,2018-06-14,2018-06-14,4018
124,288916,2018-06-14,2018-06-14,4027
77,51652,2018-06-14,2018-06-14,2321
101,288955,2018-06-14,2018-06-14,3992
